pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Combined Acoustic Radiation Force Impulse (ARGI) Ultrasound and Elastography  for Tissue Imaging,"Acoustic Radiation Force Impulse (ARFI) ultrasound is a tissue imaging method where a short duration impulse (on the order of microseconds) of relatively high acoustic energy is transmitted into the body. The tissue’s response in terms of its peak displacement and subsequent recovery from displacement is used as an indicator of the tissue’s mechanical properties. The use of ARFI for elastography yields enhanced differentiation of tissue mechanical property. This technique allows for targeted regions of excitation, resulting in increased spatial resolution of mechanical property analysis. Combined ARFI-Elastography would be useful in breast, vascular, cardiac, abdominal, and other ultrasonic imaging applications. Similar principles may be applied to other medical imaging modalities, such as MRI and Optical imaging. Developments in ultrasound imaging, such as ARFI for elastography, will have helped lead the market to a $7 billion USD industry by 2024.<!–[if !supportLists]–>• <!–[endif]–>Ability to palpate tissue further than human reach<!–[if !supportLists]–>•",Nouvant,https://www.nouvant.com,Caterina Gallippi,http://technologies.unc.edu/inventors/18584832_caterina-gallippi,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,"US Patent 9,043,156",#08-0050
"Dry Powder Aerosol Generator, a delivery system for dry powdered aerosol drugs",,Nouvant,https://www.nouvant.com,Anthony Hickey,http://technologies.unc.edu/inventors/18584813_anthony-hickey,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,"US Patent 8,205,612",#05-0077
Methods of Acoustic Measurement and Control of Pharmaceutical Sprays,,Nouvant,https://www.nouvant.com,Anthony Hickey,http://technologies.unc.edu/inventors/18584808_anthony-hickey,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,"US Patent 8,156,829",#04-0112
Coated filament for evaporation/condensation aerosol generation of therapeutic agents and methods,,Nouvant,https://www.nouvant.com,Anthony Hickey,http://technologies.unc.edu/inventors/18584807_anthony-hickey,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,US Patent 2008/0199161,#04-0113
Hinged endoscopic catheter for easier treatment of intestinal obstruction,"Intestinal obstruction can result from a variety of medical problems, including gastric outlet obstruction, chronic ulcers, and cancer of the stomach or pancreas, and it leads to impaired or blocked digestion of food, numerous gastrointestinal symptoms, and malnutrition. A common solution to these cases is to bypass the obstruction by creating a connection between the stomach and the small intestine through a procedure called a gastrojejunostomy, allowing the contents of the stomach to continue through the digestive tract unimpeded. Researchers at UNC have developed a custom catheter for improving the safety and speed of this commonly performed surgery. The catheter can be manipulated to bring the small intestine closer to the stomach, facilitating easier placement of the connecting tube. It also expands to open the lumen of the small intestine, minimizing the risk of accidental puncture all the way through.Advantages:· Facilitates accurate procedures by pushing the small intestine against the stomach· Minimizes the risk of unintended intestinal punctures by opening up the small intestine before needle insertion·",Nouvant,https://www.nouvant.com,Theodore James,http://technologies.unc.edu/inventors/18585239_theodore-james,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#18-0015
Method for the Inhibition of Anti-PEG Antibodies,,Nouvant,https://www.nouvant.com,Sam Lai,http://technologies.unc.edu/inventors/18585226_sam-lai,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,Provisional Patent Application Filed ,#18-0025
COPD Diagnostic Tool,"A method for the diagnosis of chronic bronchitis (CB) has been invented. Currently, the diagnosis of CB relies on self-reporting of symptoms and tests such as the classic and St. George’s Respiratory Questionnaires. CB represents an early developmental phase of chronic obstructive pulmonary lung disease (COPD), and therefore a more quantitative approach to CB diagnosis is desired. Our researchers have developed a method of diagnosing CB based on levels of mucin present in sputum samples. This objective test can be used to diagnose CB, define the severity of CB, and help determine the appropriate therapies.Advantages:-Provides a quantitative diagnostic for chronic bronchitis (CB)",Airway Mucin Concentration as a Marker of Chronic Bronchitis,http://www.nejm.org/doi/full/10.1056/NEJMoa1701632?af=R&rss=currentIssue&page=&sort=oldest,Mehmet Kesimer,http://technologies.unc.edu/inventors/18585120_mehmet-kesimer,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,Science Daily,#17-0117
Nanoparticles for the Codelivery of Cancer Immunotherapeutics,"Dual immunotherapy nanoparticles (DINPs) that can simultaneously deliver multiple immunotherapeutics have been synthesized. Emerging evidence suggests that administration of certain immunotherapeutics in combination has a synergistic effect. Specifically, an approach that can block checkpoint inhibitor receptors, like PD1, while activating co-stimulatory receptors, like OX40, is desired. This can be done by utilizing our dual immunotherapy nanoparticles (DINPs). Using DINPs enabled simultaneous delivery of anti-PD1 and anti-OX40 antibodies (Abs) to T cells. Data indicates that codelivery of these Abs by DINPs induced a higher immunotherapeutic response than administration of the free Abs in vivo. DINP combination immunotherapy led to 30% cure rate in mice with 83% of cured mice resisting tumor re-challenge.Advantages:-Enables codelivery of immunotherapeutics to T cells, enhancing T cell activation-More effective than free antibodies in in vivo tumor models",A Dual Immunotherapy Nanoparticle Improves T-Cell Activation and Cancer Immunotherapy,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201706098,Andrew Wang,http://technologies.unc.edu/inventors/18585118_andrew-wang,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent Pending US 2018/938999,#17-0119
Diagnostic Test for Malignant Cutaneous Melanoma,,Nouvant,https://www.nouvant.com,Kathleen Dorsey,http://technologies.unc.edu/inventors/18585108_kathleen-dorsey,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,Provisional Patent Application Filed ,#17-0137
"Neurosteroid-induced protection against alcoholism, multiple sclerosis, Alzheimer’s disease, and other neuropsychiatric disorders","Several naturally-occurring neurosteroids have shown protection against alcohol use disorder, depression, multiple sclerosis, Alzheimer’s disease, traumatic brain injury, and other neuropsychiatric disorders in animal models. These disorders affect a large portion of the population, with 6.2% of adults in the United States suffering from alcohol use disorder alone. Protective action of these neurosteroids has been observed, but the mechanism for these benefits has not been shown. Development of these neurosteroids as therapeutics in humans, as well as efforts to find more neurosteroids with protective action, depend on a more complete understanding of how they protect against depression and other disorders. Researchers at UNC have discovered that these neurosteroids inhibit an important signaling pathway in the brain involved in many neuropsychiatric disorders.Advantages:· Increases awareness of neurosteroid action in clinically relevant signaling pathways in animal models· Explains therapeutic usefulness of neurosteroids in disorders including alcohol use disorder, depression, multiple sclerosis, Alzheimer’s disease, and traumatic brain injury·",Nouvant,https://www.nouvant.com,A Leslie Morrow,http://technologies.unc.edu/inventors/18585092_a-leslie-morrow,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,Charlie Shaw Commercialization Manager 919.966.3929,#17-0159
The Garland Carver for Carving Dental Composite Restorations,,Nouvant,https://www.nouvant.com,Glenn Garland,http://technologies.unc.edu/inventors/18585031_glenn-garland,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,PCT Patent Application Filed,#16-0137
Stretchable RF Coil Array for High-Resolution MRI,,Nouvant,https://www.nouvant.com,Weili Lin,http://technologies.unc.edu/inventors/18585001_weili-lin,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,PCT Patent Application WO 2018/045042,#16-0187
Small Molecules for the Treatment of Metabolic Disorders,"Small molecule therapeutics for metabolic syndromes, such as non-alcoholic fatty liver disease (NAFLD), have been developed. Activation of AMP-activated protein kinase (AMPK) leads to inhibition of cholesterol synthesis, triglyceride synthesis, and lipogenesis, and, significantly, it can stimulate hepatic fatty acid oxidation. We have identified compounds that can activate AMPK more effectively than its endogenous ligand, ADP. These compounds could serve as lead compounds for a program focused on metabolic disorders such as NAFLD or non-alcoholic steatohepatitis (NASH).Advantages:-AMPK activation can increase hepatic fatty acid oxidation-AMPK activation can inhibit cholesterol synthesis",A High Throughput Assay for Discovery of Small Molecules that Bind AMP-activated Protein Kinase (AMPK),https://benthamopen.com/ABSTRACT/CCGTM-7-30,Jay Brenman,http://technologies.unc.edu/inventors/18584942_jay-brenman,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,US Patent Issued,#14-0018
